account_id,industry,plan_tier,billing_cycle,account_age_years,annual_contract_value
ACCT0059,Technology,Basic,Monthly,7.3,109700
ACCT0060,Technology,Basic,Monthly,1.9,28000
ACCT0061,Healthcare,Premium,Annual,12.0,173200
ACCT0062,Finance,Premium,Monthly,2.1,108300
ACCT0063,Finance,Premium,Monthly,0.8,128400
ACCT0064,Manufacturing,Basic,Annual,3.4,49700
ACCT0065,Healthcare,Premium,Monthly,5.3,158300
ACCT0066,Finance,Pro,Monthly,4.9,75500
ACCT0067,Finance,Pro,Monthly,5.6,109500
ACCT0068,Retail,Pro,Annual,1.5,48800
ACCT0069,Technology,Premium,Monthly,7.2,208000
ACCT0070,Retail,Enterprise,Monthly,7.5,429900
ACCT0071,Technology,Premium,Monthly,7.7,187600
ACCT0072,Retail,Premium,Monthly,3.8,156200
ACCT0073,Manufacturing,Pro,Monthly,2.5,63000
ACCT0074,Technology,Premium,Annual,2.3,96400
ACCT0075,Technology,Basic,Monthly,0.8,20400
ACCT0076,Retail,Pro,Monthly,2.1,54800
ACCT0077,Retail,Basic,Monthly,0.3,13900
ACCT0078,Healthcare,Basic,Annual,0.7,28300
ACCT0079,Finance,Premium,Annual,3.8,148400
ACCT0080,Manufacturing,Pro,Monthly,2.7,74400
ACCT0081,Healthcare,Premium,Annual,3.7,134300
ACCT0082,Retail,Enterprise,Annual,5.1,433200
ACCT0083,Manufacturing,Enterprise,Annual,4.1,282700
ACCT0084,Technology,Pro,Monthly,3.9,80800
ACCT0085,Technology,Pro,Monthly,3.0,79600
ACCT0086,Technology,Basic,Monthly,1.8,30200
ACCT0087,Healthcare,Basic,Monthly,1.2,24000
ACCT0088,Finance,Basic,Monthly,2.2,27700
ACCT0089,Technology,Enterprise,Annual,3.0,169400
ACCT0090,Finance,Pro,Monthly,3.3,72800
ACCT0091,Technology,Pro,Monthly,5.7,97800
ACCT0092,Healthcare,Premium,Annual,2.9,108900
ACCT0093,Finance,Basic,Annual,4.6,56000
ACCT0094,Retail,Basic,Monthly,0.9,23700
ACCT0095,Retail,Premium,Annual,3.8,100900
ACCT0096,Healthcare,Pro,Monthly,3.6,68100
ACCT0097,Retail,Premium,Annual,7.2,184400
ACCT0098,Technology,Basic,Monthly,2.7,41600
ACCT0099,Technology,Pro,Monthly,2.6,57600
ACCT0100,Education,Enterprise,Annual,5.1,257100
ACCT0101,Education,Pro,Annual,1.2,67200
ACCT0102,Healthcare,Pro,Monthly,3.8,90400
ACCT0103,Retail,Basic,Annual,1.2,25200
ACCT0104,Education,Premium,Monthly,9.2,177200
ACCT0105,Manufacturing,Basic,Annual,2.3,32700
ACCT0106,Healthcare,Pro,Monthly,1.1,60400
ACCT0107,Finance,Premium,Monthly,2.2,131600
ACCT0108,Retail,Basic,Monthly,3.8,54100
ACCT0109,Technology,Pro,Annual,4.5,88300
ACCT0110,Education,Pro,Monthly,7.0,123900
ACCT0111,Finance,Basic,Monthly,2.0,33400
ACCT0112,Technology,Premium,Annual,5.2,175700
ACCT0113,Retail,Basic,Annual,0.7,24700
ACCT0114,Finance,Pro,Annual,1.4,51600
ACCT0115,Technology,Pro,Monthly,1.0,40900
ACCT0116,Manufacturing,Basic,Monthly,1.7,39000
ACCT0117,Healthcare,Basic,Monthly,5.1,63200
ACCT0118,Healthcare,Basic,Monthly,2.0,25200
ACCT0119,Retail,Premium,Annual,2.3,115000
ACCT0120,Healthcare,Basic,Monthly,3.8,56100
ACCT0121,Finance,Pro,Annual,4.4,81600
ACCT0122,Healthcare,Basic,Monthly,2.4,33500
ACCT0123,Technology,Pro,Annual,1.4,73300
ACCT0124,Retail,Premium,Monthly,8.3,154500
ACCT0125,Technology,Pro,Monthly,2.4,59400
ACCT0126,Finance,Pro,Annual,2.6,71400
ACCT0127,Retail,Enterprise,Annual,2.8,245000
ACCT0128,Technology,Pro,Annual,4.7,95400
ACCT0129,Technology,Pro,Monthly,0.9,62500
ACCT0130,Finance,Pro,Monthly,10.3,143200
ACCT0131,Technology,Premium,Monthly,2.5,141200
ACCT0132,Education,Pro,Annual,4.8,85400
ACCT0133,Finance,Basic,Annual,1.1,25400
ACCT0134,Retail,Pro,Annual,3.6,79600
ACCT0135,Finance,Pro,Annual,9.3,134600
ACCT0136,Technology,Enterprise,Annual,8.5,319000
ACCT0137,Education,Premium,Annual,4.7,164200
ACCT0138,Finance,Pro,Monthly,1.6,61100
ACCT0139,Manufacturing,Basic,Annual,6.7,66400
ACCT0140,Technology,Basic,Annual,0.7,21700
ACCT0141,Finance,Pro,Monthly,1.6,60000
ACCT0142,Finance,Basic,Monthly,3.0,43600
ACCT0143,Education,Basic,Monthly,0.8,31400
ACCT0144,Finance,Premium,Annual,2.2,117300
ACCT0145,Finance,Premium,Monthly,5.3,166500
ACCT0146,Retail,Pro,Monthly,1.9,74500
ACCT0147,Retail,Enterprise,Annual,5.4,258100
ACCT0148,Finance,Enterprise,Annual,12.0,454800
ACCT0149,Retail,Premium,Annual,4.1,136800
ACCT0150,Technology,Enterprise,Annual,5.4,267000
ACCT0151,Manufacturing,Premium,Annual,6.9,149500
ACCT0152,Manufacturing,Basic,Annual,2.3,34000
ACCT0153,Technology,Premium,Monthly,5.3,162100
ACCT0154,Finance,Pro,Annual,2.3,76200
ACCT0155,Technology,Pro,Annual,4.0,85900
ACCT0156,Healthcare,Pro,Annual,5.8,120400
ACCT0157,Retail,Enterprise,Monthly,1.7,216900
ACCT0158,Healthcare,Basic,Monthly,0.3,16900
ACCT0159,Healthcare,Basic,Monthly,1.6,44800
ACCT0160,Manufacturing,Enterprise,Monthly,6.4,279500
ACCT0161,Technology,Basic,Annual,1.4,24700
ACCT0162,Education,Premium,Monthly,6.2,146200
ACCT0163,Technology,Pro,Annual,1.6,51700
ACCT0164,Technology,Basic,Annual,2.7,46000
ACCT0165,Finance,Pro,Monthly,3.2,70300
ACCT0166,Retail,Premium,Monthly,1.4,123100
ACCT0167,Manufacturing,Pro,Annual,2.8,70100
ACCT0168,Manufacturing,Basic,Monthly,0.8,25300
ACCT0169,Retail,Basic,Monthly,2.5,32600
ACCT0170,Education,Pro,Monthly,3.0,61400
ACCT0171,Retail,Basic,Monthly,0.3,18700
ACCT0172,Finance,Basic,Monthly,1.6,31900
ACCT0173,Retail,Premium,Annual,3.9,150700
ACCT0174,Education,Basic,Annual,1.3,23300
ACCT0175,Technology,Premium,Monthly,4.3,163600
ACCT0176,Technology,Pro,Monthly,4.6,77500
ACCT0177,Retail,Premium,Monthly,3.9,131300
ACCT0178,Education,Basic,Annual,5.3,53700
ACCT0179,Manufacturing,Premium,Annual,0.8,141600
ACCT0180,Healthcare,Enterprise,Annual,6.0,286600
ACCT0181,Manufacturing,Pro,Annual,1.4,64800
ACCT0182,Manufacturing,Basic,Annual,3.4,56000
ACCT0183,Finance,Enterprise,Annual,9.1,450100
ACCT0184,Retail,Pro,Monthly,2.4,51700
ACCT0185,Manufacturing,Basic,Annual,3.2,39200
ACCT0186,Healthcare,Basic,Monthly,1.4,25300
ACCT0187,Retail,Enterprise,Annual,9.1,250000
ACCT0188,Technology,Pro,Monthly,1.6,50500
ACCT0189,Healthcare,Premium,Annual,4.9,144600
ACCT0190,Retail,Premium,Annual,6.9,139800
ACCT0191,Education,Enterprise,Annual,5.2,265200
ACCT0192,Retail,Enterprise,Monthly,4.0,243200
ACCT0193,Technology,Basic,Monthly,3.4,49200
ACCT0194,Manufacturing,Basic,Monthly,1.1,27100
ACCT0195,Technology,Enterprise,Annual,8.8,313100
ACCT0196,Technology,Basic,Monthly,3.8,46400
ACCT0197,Finance,Pro,Annual,3.2,105400
ACCT0198,Manufacturing,Premium,Annual,1.3,124600
ACCT0199,Technology,Basic,Monthly,3.3,33400
ACCT0200,Retail,Pro,Monthly,3.1,62900
ACCT0201,Manufacturing,Premium,Annual,9.1,143800
ACCT0202,Education,Basic,Monthly,3.2,44200
ACCT0203,Finance,Enterprise,Monthly,3.3,230200
ACCT0204,Technology,Basic,Monthly,1.3,25200
ACCT0205,Technology,Pro,Annual,1.8,86000
ACCT0206,Technology,Basic,Annual,4.5,60400
ACCT0207,Technology,Premium,Annual,0.6,127800
ACCT0208,Healthcare,Premium,Annual,6.0,139400
ACCT0209,Technology,Premium,Annual,6.1,138600
ACCT0210,Finance,Pro,Monthly,1.7,61300
ACCT0211,Healthcare,Basic,Monthly,4.0,52700
ACCT0212,Finance,Enterprise,Annual,7.0,199200
ACCT0213,Technology,Pro,Monthly,2.9,70200
ACCT0214,Manufacturing,Pro,Annual,2.5,69000
ACCT0215,Healthcare,Basic,Monthly,2.8,38600
ACCT0216,Healthcare,Pro,Annual,3.8,70400
ACCT0217,Technology,Pro,Monthly,2.0,58700
ACCT0218,Technology,Pro,Annual,2.4,65600
ACCT0219,Education,Premium,Annual,3.9,144800
ACCT0220,Retail,Pro,Annual,2.2,72900
ACCT0221,Retail,Pro,Monthly,1.2,68000
ACCT0222,Finance,Basic,Annual,0.6,19400
ACCT0223,Healthcare,Enterprise,Monthly,3.3,218000
ACCT0224,Education,Basic,Monthly,6.7,81200
ACCT0225,Retail,Enterprise,Annual,4.2,267400
ACCT0226,Education,Premium,Monthly,1.3,111600
ACCT0227,Technology,Basic,Monthly,1.8,35400
ACCT0228,Finance,Enterprise,Annual,2.5,266400
ACCT0229,Healthcare,Enterprise,Annual,9.3,354900
ACCT0230,Technology,Enterprise,Annual,9.6,670900
ACCT0231,Technology,Enterprise,Annual,8.9,248300
ACCT0232,Retail,Pro,Monthly,3.5,77700
ACCT0233,Education,Enterprise,Monthly,12.0,313600
ACCT0234,Finance,Pro,Monthly,1.9,61900
ACCT0235,Education,Premium,Annual,2.5,117300
ACCT0236,Manufacturing,Premium,Annual,5.7,125500
ACCT0237,Finance,Basic,Monthly,3.9,50500
ACCT0238,Manufacturing,Premium,Monthly,4.0,127400
ACCT0239,Technology,Pro,Annual,1.5,60100
ACCT0240,Technology,Premium,Annual,3.1,119500
ACCT0241,Manufacturing,Pro,Monthly,1.9,52900
ACCT0242,Manufacturing,Basic,Monthly,1.0,25400
ACCT0243,Technology,Basic,Monthly,2.1,34400
ACCT0244,Finance,Basic,Monthly,3.9,54600
ACCT0245,Finance,Basic,Monthly,5.1,86400
ACCT0246,Manufacturing,Basic,Monthly,0.6,21000
ACCT0247,Finance,Pro,Monthly,3.2,80600
ACCT0248,Retail,Basic,Annual,3.0,35200
ACCT0249,Retail,Basic,Monthly,3.7,39600
ACCT0250,Retail,Basic,Monthly,1.3,34500
ACCT0251,Healthcare,Premium,Annual,1.3,103500
ACCT0252,Manufacturing,Pro,Monthly,6.9,91100
ACCT0253,Finance,Pro,Monthly,1.7,60800
ACCT0254,Retail,Basic,Monthly,2.4,35900
ACCT0255,Technology,Premium,Monthly,2.6,113400
ACCT0256,Healthcare,Basic,Monthly,1.9,30700
ACCT0257,Manufacturing,Premium,Annual,4.4,179600
ACCT0258,Technology,Enterprise,Annual,4.2,213000
ACCT0259,Technology,Enterprise,Annual,2.9,184800
ACCT0260,Finance,Basic,Monthly,2.0,38400
ACCT0261,Technology,Basic,Monthly,2.7,42800
ACCT0262,Manufacturing,Pro,Annual,3.4,69000
ACCT0263,Retail,Pro,Monthly,1.8,48300
ACCT0264,Technology,Pro,Monthly,4.6,77600
ACCT0265,Education,Pro,Annual,5.9,98600
ACCT0266,Technology,Enterprise,Annual,7.6,329300
ACCT0267,Retail,Premium,Annual,7.3,147200
ACCT0268,Technology,Enterprise,Annual,2.5,224900
ACCT0269,Technology,Pro,Annual,3.5,86100
ACCT0270,Technology,Enterprise,Annual,2.8,157600
ACCT0271,Technology,Pro,Annual,2.8,84400
ACCT0272,Technology,Premium,Annual,2.7,109600
ACCT0273,Technology,Basic,Annual,3.2,46300
ACCT0274,Finance,Pro,Monthly,6.6,109300
ACCT0275,Healthcare,Premium,Annual,3.9,170700
ACCT0276,Retail,Pro,Monthly,1.3,62600
ACCT0277,Retail,Premium,Annual,5.8,109400
ACCT0278,Finance,Basic,Monthly,3.7,42600
ACCT0279,Manufacturing,Basic,Annual,4.4,56100
ACCT0280,Manufacturing,Basic,Monthly,3.9,48500
ACCT0281,Technology,Basic,Monthly,4.0,55200
ACCT0282,Technology,Pro,Annual,4.1,94400
ACCT0283,Technology,Pro,Annual,0.7,57600
ACCT0284,Retail,Pro,Monthly,4.4,82600
ACCT0285,Finance,Basic,Monthly,1.9,23600
ACCT0286,Retail,Pro,Annual,2.2,61500
ACCT0287,Technology,Pro,Annual,3.2,79900
ACCT0288,Retail,Enterprise,Annual,8.3,235100
ACCT0289,Finance,Basic,Monthly,1.4,31000
ACCT0290,Technology,Pro,Monthly,3.1,85700
ACCT0291,Manufacturing,Enterprise,Monthly,2.7,233700
ACCT0292,Technology,Premium,Annual,5.7,97800
ACCT0293,Education,Pro,Annual,2.6,56700
ACCT0294,Technology,Pro,Monthly,3.7,107600
ACCT0295,Manufacturing,Pro,Annual,1.5,54100
ACCT0296,Education,Enterprise,Annual,6.3,308900
ACCT0297,Education,Basic,Annual,1.0,28900
ACCT0298,Manufacturing,Premium,Annual,4.4,147500
ACCT0299,Manufacturing,Basic,Monthly,3.7,58100
ACCT0300,Healthcare,Premium,Annual,4.1,151600
ACCT0301,Manufacturing,Pro,Annual,1.0,59000
ACCT0302,Technology,Basic,Monthly,2.6,40500
ACCT0303,Finance,Premium,Annual,5.6,176700
ACCT0304,Finance,Premium,Monthly,9.1,273300
ACCT0305,Manufacturing,Basic,Monthly,3.0,48700
ACCT0306,Finance,Pro,Monthly,5.2,72300
ACCT0307,Retail,Basic,Annual,3.5,50000
ACCT0308,Healthcare,Pro,Monthly,3.1,88400
ACCT0309,Retail,Basic,Monthly,2.4,44000
ACCT0310,Technology,Premium,Annual,3.2,127900
ACCT0311,Finance,Basic,Annual,4.9,71600
ACCT0312,Retail,Pro,Annual,5.2,107700
ACCT0313,Technology,Basic,Monthly,1.2,38500
ACCT0314,Retail,Premium,Annual,2.2,113400
ACCT0315,Retail,Pro,Annual,1.4,54000
ACCT0316,Retail,Pro,Monthly,3.3,72300
ACCT0317,Retail,Pro,Monthly,2.5,63400
ACCT0318,Healthcare,Basic,Annual,4.0,44400
ACCT0319,Retail,Pro,Monthly,4.2,53900
ACCT0320,Education,Premium,Annual,0.4,104000
ACCT0321,Education,Pro,Monthly,3.2,79300
ACCT0322,Finance,Premium,Monthly,6.6,155100
ACCT0323,Retail,Pro,Annual,2.2,89800
ACCT0324,Finance,Premium,Monthly,2.2,127800
ACCT0325,Manufacturing,Basic,Monthly,5.9,84200
ACCT0326,Healthcare,Basic,Monthly,5.4,65900
ACCT0327,Manufacturing,Pro,Monthly,1.5,68000
ACCT0328,Finance,Pro,Monthly,5.0,95400
ACCT0329,Healthcare,Premium,Annual,1.8,154500
ACCT0330,Retail,Basic,Monthly,2.1,34600
ACCT0331,Healthcare,Basic,Monthly,1.5,31000
ACCT0332,Technology,Basic,Monthly,1.2,26900
ACCT0333,Healthcare,Basic,Monthly,3.5,44000
ACCT0334,Manufacturing,Basic,Monthly,1.0,25700
ACCT0335,Technology,Pro,Annual,3.5,111400
ACCT0336,Healthcare,Pro,Monthly,3.5,74000
ACCT0337,Technology,Premium,Annual,2.9,143100
ACCT0338,Healthcare,Premium,Monthly,2.3,157300
ACCT0339,Technology,Basic,Monthly,2.0,39300
ACCT0340,Education,Basic,Monthly,1.4,27300
ACCT0341,Technology,Enterprise,Annual,7.6,186900
ACCT0342,Education,Pro,Annual,2.8,77200
ACCT0343,Manufacturing,Pro,Monthly,2.7,49400
ACCT0344,Finance,Pro,Monthly,1.6,76100
ACCT0345,Manufacturing,Pro,Annual,7.1,113200
ACCT0346,Manufacturing,Enterprise,Annual,2.1,262400
ACCT0347,Education,Basic,Annual,3.8,42400
ACCT0348,Retail,Premium,Annual,4.3,114200
ACCT0349,Finance,Basic,Monthly,3.5,48100
ACCT0350,Technology,Basic,Monthly,1.0,23800
ACCT0351,Healthcare,Enterprise,Annual,4.9,230200
ACCT0352,Technology,Basic,Monthly,2.1,33900
ACCT0353,Finance,Enterprise,Annual,5.3,393800
ACCT0354,Finance,Pro,Monthly,3.1,84000
ACCT0355,Finance,Pro,Annual,4.4,101600
ACCT0356,Finance,Enterprise,Annual,6.8,305100
ACCT0357,Manufacturing,Pro,Monthly,4.8,112700
ACCT0358,Manufacturing,Basic,Annual,4.5,53900
ACCT0359,Finance,Pro,Monthly,5.0,65700
ACCT0360,Finance,Pro,Monthly,1.7,59800
ACCT0361,Education,Premium,Annual,5.5,179000
ACCT0362,Technology,Basic,Annual,2.6,33200
ACCT0363,Technology,Basic,Monthly,2.7,38200
ACCT0364,Technology,Basic,Monthly,3.4,40700
ACCT0365,Healthcare,Basic,Annual,2.5,47300
ACCT0366,Retail,Basic,Monthly,1.5,31800
ACCT0367,Manufacturing,Basic,Monthly,3.2,48700
ACCT0368,Healthcare,Basic,Monthly,2.7,43500
ACCT0369,Retail,Premium,Annual,2.6,131000
ACCT0370,Manufacturing,Premium,Monthly,3.0,139200
ACCT0371,Manufacturing,Basic,Monthly,0.4,15600
ACCT0372,Retail,Basic,Monthly,2.7,27400
ACCT0373,Retail,Premium,Annual,7.4,178600
ACCT0374,Retail,Pro,Monthly,7.0,115000
ACCT0375,Technology,Basic,Monthly,3.3,54100
ACCT0376,Technology,Basic,Annual,3.2,56500
ACCT0377,Education,Basic,Monthly,0.3,22900
ACCT0378,Retail,Basic,Monthly,2.1,29200
ACCT0379,Retail,Premium,Annual,5.0,144600
ACCT0380,Healthcare,Pro,Annual,2.4,73200
ACCT0381,Finance,Basic,Monthly,6.1,104700
ACCT0382,Education,Premium,Annual,5.9,203700
ACCT0383,Manufacturing,Basic,Monthly,2.1,40600
ACCT0384,Finance,Pro,Annual,3.5,72500
ACCT0385,Retail,Premium,Annual,7.7,154200
ACCT0386,Education,Basic,Monthly,1.0,26900
ACCT0387,Healthcare,Basic,Monthly,2.5,31100
ACCT0388,Education,Basic,Annual,0.9,22100
ACCT0389,Technology,Premium,Annual,1.6,120500
ACCT0390,Manufacturing,Basic,Monthly,9.1,125400
ACCT0391,Healthcare,Pro,Annual,2.5,64400
ACCT0392,Technology,Pro,Monthly,0.6,34500
ACCT0393,Finance,Basic,Annual,1.5,30500
ACCT0394,Healthcare,Pro,Annual,0.8,47500
ACCT0395,Technology,Basic,Annual,3.5,47200
ACCT0396,Finance,Pro,Monthly,4.2,82900
ACCT0397,Manufacturing,Basic,Monthly,5.5,61800
ACCT0398,Retail,Basic,Monthly,4.8,66400
ACCT0399,Finance,Pro,Annual,1.0,43100
ACCT0400,Finance,Basic,Monthly,4.1,47700
